Date,Ratio Name,Ratio Value
2022-08-12,TOTAL PUT/CALL RATIO,0.94
2022-08-15,TOTAL PUT/CALL RATIO,0.90
2022-08-16,TOTAL PUT/CALL RATIO,0.85
2022-08-17,TOTAL PUT/CALL RATIO,0.91
2022-08-18,TOTAL PUT/CALL RATIO,0.92
2022-08-19,TOTAL PUT/CALL RATIO,1.01
2022-08-22,TOTAL PUT/CALL RATIO,1.08
2022-08-23,TOTAL PUT/CALL RATIO,0.98
2022-08-24,TOTAL PUT/CALL RATIO,0.91
2022-08-25,TOTAL PUT/CALL RATIO,0.89
2022-08-26,TOTAL PUT/CALL RATIO,1.10
2022-08-29,TOTAL PUT/CALL RATIO,1.22
2022-08-30,TOTAL PUT/CALL RATIO,1.20
2022-08-31,TOTAL PUT/CALL RATIO,1.11
2022-09-01,TOTAL PUT/CALL RATIO,1.03
2022-09-02,TOTAL PUT/CALL RATIO,1.13
2022-09-06,TOTAL PUT/CALL RATIO,1.13
2022-09-07,TOTAL PUT/CALL RATIO,1.00
2022-09-08,TOTAL PUT/CALL RATIO,0.97
2022-09-09,TOTAL PUT/CALL RATIO,0.93
2022-09-12,TOTAL PUT/CALL RATIO,1.05
2022-09-13,TOTAL PUT/CALL RATIO,1.15
2022-09-14,TOTAL PUT/CALL RATIO,1.08
2022-09-15,TOTAL PUT/CALL RATIO,1.07
2022-09-16,TOTAL PUT/CALL RATIO,1.17
2022-09-19,TOTAL PUT/CALL RATIO,0.88
2022-09-20,TOTAL PUT/CALL RATIO,0.98
2022-09-21,TOTAL PUT/CALL RATIO,1.05
2022-09-22,TOTAL PUT/CALL RATIO,1.16
2022-09-23,TOTAL PUT/CALL RATIO,1.36
2022-09-26,TOTAL PUT/CALL RATIO,0.97
2022-09-27,TOTAL PUT/CALL RATIO,1.15
2022-09-28,TOTAL PUT/CALL RATIO,1.09
2022-09-29,TOTAL PUT/CALL RATIO,1.12
2022-09-30,TOTAL PUT/CALL RATIO,1.12
2022-10-03,TOTAL PUT/CALL RATIO,0.96
2022-10-04,TOTAL PUT/CALL RATIO,0.99
2022-10-05,TOTAL PUT/CALL RATIO,0.89
2022-10-06,TOTAL PUT/CALL RATIO,0.91
2022-10-07,TOTAL PUT/CALL RATIO,1.04
2022-10-10,TOTAL PUT/CALL RATIO,1.05
2022-10-11,TOTAL PUT/CALL RATIO,0.97
2022-10-12,TOTAL PUT/CALL RATIO,1.02
2022-10-13,TOTAL PUT/CALL RATIO,0.90
2022-10-14,TOTAL PUT/CALL RATIO,0.91
2022-10-17,TOTAL PUT/CALL RATIO,0.97
2022-10-18,TOTAL PUT/CALL RATIO,0.96
2022-10-19,TOTAL PUT/CALL RATIO,1.02
2022-10-20,TOTAL PUT/CALL RATIO,1.05
2022-10-21,TOTAL PUT/CALL RATIO,0.92
2022-10-24,TOTAL PUT/CALL RATIO,0.92
2022-10-25,TOTAL PUT/CALL RATIO,0.90
2022-10-26,TOTAL PUT/CALL RATIO,0.94
2022-10-27,TOTAL PUT/CALL RATIO,1.08
2022-10-28,TOTAL PUT/CALL RATIO,0.93
2022-10-31,TOTAL PUT/CALL RATIO,0.94
2022-11-01,TOTAL PUT/CALL RATIO,0.95
2022-11-02,TOTAL PUT/CALL RATIO,1.18
2022-11-03,TOTAL PUT/CALL RATIO,1.06
2022-11-04,TOTAL PUT/CALL RATIO,1.02
2022-11-07,TOTAL PUT/CALL RATIO,0.88
2022-11-08,TOTAL PUT/CALL RATIO,1.15
2022-11-09,TOTAL PUT/CALL RATIO,1.01
2022-11-10,TOTAL PUT/CALL RATIO,0.88
2022-11-11,TOTAL PUT/CALL RATIO,0.75
2022-11-14,TOTAL PUT/CALL RATIO,0.88
2022-11-15,TOTAL PUT/CALL RATIO,0.84
2022-11-16,TOTAL PUT/CALL RATIO,1.22
2022-11-17,TOTAL PUT/CALL RATIO,0.97
2022-11-18,TOTAL PUT/CALL RATIO,0.87
2022-11-21,TOTAL PUT/CALL RATIO,0.86
2022-11-22,TOTAL PUT/CALL RATIO,1.17
2022-11-23,TOTAL PUT/CALL RATIO,1.07
2022-11-25,TOTAL PUT/CALL RATIO,0.94
2022-11-28,TOTAL PUT/CALL RATIO,1.05
2022-11-29,TOTAL PUT/CALL RATIO,1.03
2022-11-30,TOTAL PUT/CALL RATIO,1.20
2022-12-01,TOTAL PUT/CALL RATIO,0.96
2022-12-02,TOTAL PUT/CALL RATIO,0.84
2022-12-05,TOTAL PUT/CALL RATIO,0.93
2022-12-06,TOTAL PUT/CALL RATIO,1.04
2022-12-07,TOTAL PUT/CALL RATIO,1.22
2022-12-08,TOTAL PUT/CALL RATIO,0.92
2022-12-09,TOTAL PUT/CALL RATIO,1.15
2022-12-12,TOTAL PUT/CALL RATIO,1.01
2022-12-13,TOTAL PUT/CALL RATIO,0.93
2022-12-14,TOTAL PUT/CALL RATIO,1.26
2022-12-15,TOTAL PUT/CALL RATIO,1.15
2022-12-16,TOTAL PUT/CALL RATIO,1.28
2022-12-19,TOTAL PUT/CALL RATIO,0.98
2022-12-20,TOTAL PUT/CALL RATIO,0.97
2022-12-21,TOTAL PUT/CALL RATIO,1.50
2022-12-22,TOTAL PUT/CALL RATIO,1.27
2022-12-23,TOTAL PUT/CALL RATIO,1.01
2022-12-27,TOTAL PUT/CALL RATIO,1.00
2022-12-28,TOTAL PUT/CALL RATIO,1.91
2022-12-29,TOTAL PUT/CALL RATIO,1.25
2022-12-30,TOTAL PUT/CALL RATIO,1.19
2023-01-03,TOTAL PUT/CALL RATIO,0.99
2023-01-04,TOTAL PUT/CALL RATIO,1.12
2023-01-06,TOTAL PUT/CALL RATIO,0.99
2023-01-09,TOTAL PUT/CALL RATIO,0.89
2023-01-10,TOTAL PUT/CALL RATIO,0.98
2023-01-11,TOTAL PUT/CALL RATIO,0.96
2023-01-12,TOTAL PUT/CALL RATIO,0.96
2023-01-13,TOTAL PUT/CALL RATIO,0.93
2023-01-17,TOTAL PUT/CALL RATIO,0.97
2023-01-18,TOTAL PUT/CALL RATIO,1.22
2023-01-19,TOTAL PUT/CALL RATIO,0.99
2023-01-20,TOTAL PUT/CALL RATIO,0.85
2023-01-24,TOTAL PUT/CALL RATIO,1.03
2023-01-25,TOTAL PUT/CALL RATIO,0.99
2023-01-26,TOTAL PUT/CALL RATIO,0.89
2023-01-27,TOTAL PUT/CALL RATIO,0.84
2023-01-30,TOTAL PUT/CALL RATIO,0.91
2023-01-31,TOTAL PUT/CALL RATIO,0.92
2023-02-01,TOTAL PUT/CALL RATIO,0.90
2023-02-02,TOTAL PUT/CALL RATIO,0.80
2023-02-03,TOTAL PUT/CALL RATIO,0.91
2023-02-06,TOTAL PUT/CALL RATIO,0.85
2023-02-07,TOTAL PUT/CALL RATIO,0.91
2023-02-08,TOTAL PUT/CALL RATIO,0.90
2023-02-10,TOTAL PUT/CALL RATIO,1.03
2023-02-13,TOTAL PUT/CALL RATIO,0.92
2023-02-14,TOTAL PUT/CALL RATIO,0.96
2023-02-15,TOTAL PUT/CALL RATIO,0.93
2023-02-16,TOTAL PUT/CALL RATIO,0.89
2023-02-17,TOTAL PUT/CALL RATIO,1.03
2023-02-21,TOTAL PUT/CALL RATIO,0.98
2023-02-22,TOTAL PUT/CALL RATIO,1.13
2023-02-23,TOTAL PUT/CALL RATIO,1.04
2023-02-24,TOTAL PUT/CALL RATIO,1.11
2023-02-28,TOTAL PUT/CALL RATIO,1.02
2023-03-01,TOTAL PUT/CALL RATIO,1.13
2023-03-02,TOTAL PUT/CALL RATIO,1.09
2023-03-03,TOTAL PUT/CALL RATIO,0.91
2023-03-06,TOTAL PUT/CALL RATIO,1.00
2023-03-07,TOTAL PUT/CALL RATIO,0.87
2023-03-08,TOTAL PUT/CALL RATIO,0.99
2023-03-09,TOTAL PUT/CALL RATIO,1.04
2023-03-10,TOTAL PUT/CALL RATIO,1.23
2023-03-13,TOTAL PUT/CALL RATIO,1.02
2023-03-15,TOTAL PUT/CALL RATIO,1.00
2023-03-17,TOTAL PUT/CALL RATIO,0.98
2023-03-20,TOTAL PUT/CALL RATIO,0.80
2023-03-21,TOTAL PUT/CALL RATIO,1.03
2023-03-23,TOTAL PUT/CALL RATIO,1.12
2023-03-24,TOTAL PUT/CALL RATIO,1.10
2023-03-27,TOTAL PUT/CALL RATIO,0.94
2023-03-28,TOTAL PUT/CALL RATIO,1.09
2023-03-29,TOTAL PUT/CALL RATIO,0.98
2023-03-30,TOTAL PUT/CALL RATIO,0.95
2023-03-31,TOTAL PUT/CALL RATIO,1.04
2023-04-03,TOTAL PUT/CALL RATIO,0.94
2023-04-04,TOTAL PUT/CALL RATIO,1.11
2023-04-05,TOTAL PUT/CALL RATIO,1.00
2023-04-06,TOTAL PUT/CALL RATIO,1.00
2023-04-10,TOTAL PUT/CALL RATIO,1.06
2023-04-11,TOTAL PUT/CALL RATIO,1.02
2023-04-12,TOTAL PUT/CALL RATIO,1.00
2023-04-14,TOTAL PUT/CALL RATIO,0.91
2023-04-17,TOTAL PUT/CALL RATIO,1.02
2023-04-18,TOTAL PUT/CALL RATIO,0.92
2023-04-19,TOTAL PUT/CALL RATIO,1.02
2023-04-20,TOTAL PUT/CALL RATIO,0.99
2023-04-21,TOTAL PUT/CALL RATIO,0.89
2023-04-24,TOTAL PUT/CALL RATIO,0.87
2023-04-25,TOTAL PUT/CALL RATIO,1.01
2023-04-26,TOTAL PUT/CALL RATIO,1.07
2023-04-27,TOTAL PUT/CALL RATIO,1.01
2023-04-28,TOTAL PUT/CALL RATIO,0.98
2023-05-01,TOTAL PUT/CALL RATIO,0.98
2023-05-02,TOTAL PUT/CALL RATIO,1.02
2023-05-03,TOTAL PUT/CALL RATIO,1.11
2023-05-04,TOTAL PUT/CALL RATIO,0.91
2023-05-05,TOTAL PUT/CALL RATIO,0.95
2023-05-08,TOTAL PUT/CALL RATIO,1.04
2023-05-09,TOTAL PUT/CALL RATIO,0.93
2023-05-10,TOTAL PUT/CALL RATIO,0.96
2023-05-11,TOTAL PUT/CALL RATIO,0.90
2023-05-12,TOTAL PUT/CALL RATIO,0.92
2023-05-15,TOTAL PUT/CALL RATIO,0.94
2023-05-16,TOTAL PUT/CALL RATIO,0.94
2023-05-17,TOTAL PUT/CALL RATIO,0.99
2023-05-18,TOTAL PUT/CALL RATIO,0.82
2023-05-19,TOTAL PUT/CALL RATIO,0.90
2023-05-22,TOTAL PUT/CALL RATIO,0.82
2023-05-24,TOTAL PUT/CALL RATIO,1.06
2023-05-25,TOTAL PUT/CALL RATIO,0.90
2023-05-26,TOTAL PUT/CALL RATIO,0.88
2023-05-30,TOTAL PUT/CALL RATIO,0.90
2023-05-31,TOTAL PUT/CALL RATIO,1.06
2023-06-02,TOTAL PUT/CALL RATIO,0.76
2023-06-05,TOTAL PUT/CALL RATIO,0.97
2023-06-06,TOTAL PUT/CALL RATIO,0.93
2023-06-07,TOTAL PUT/CALL RATIO,0.90
2023-06-08,TOTAL PUT/CALL RATIO,0.87
2023-06-09,TOTAL PUT/CALL RATIO,0.84
2023-06-12,TOTAL PUT/CALL RATIO,0.88
2023-06-13,TOTAL PUT/CALL RATIO,0.82
2023-06-14,TOTAL PUT/CALL RATIO,1.01
2023-06-15,TOTAL PUT/CALL RATIO,0.88
2023-06-16,TOTAL PUT/CALL RATIO,0.82
2023-06-20,TOTAL PUT/CALL RATIO,0.84
2023-06-21,TOTAL PUT/CALL RATIO,0.91
2023-06-22,TOTAL PUT/CALL RATIO,0.83
2023-06-23,TOTAL PUT/CALL RATIO,0.89
2023-06-26,TOTAL PUT/CALL RATIO,0.90
2023-06-27,TOTAL PUT/CALL RATIO,0.92
2023-06-28,TOTAL PUT/CALL RATIO,0.84
2023-06-29,TOTAL PUT/CALL RATIO,0.87
2023-06-30,TOTAL PUT/CALL RATIO,0.88
2023-07-03,TOTAL PUT/CALL RATIO,0.84
2023-07-05,TOTAL PUT/CALL RATIO,0.95
2023-07-06,TOTAL PUT/CALL RATIO,0.93
2023-07-07,TOTAL PUT/CALL RATIO,0.83
2023-07-10,TOTAL PUT/CALL RATIO,0.86
2023-07-11,TOTAL PUT/CALL RATIO,0.74
2023-07-12,TOTAL PUT/CALL RATIO,0.86
2023-07-13,TOTAL PUT/CALL RATIO,0.83
2023-07-14,TOTAL PUT/CALL RATIO,0.84
2023-07-17,TOTAL PUT/CALL RATIO,0.84
2023-07-18,TOTAL PUT/CALL RATIO,0.78
2023-07-19,TOTAL PUT/CALL RATIO,0.83
2023-07-20,TOTAL PUT/CALL RATIO,0.87
2023-07-21,TOTAL PUT/CALL RATIO,0.85
2023-07-24,TOTAL PUT/CALL RATIO,0.82
2023-07-25,TOTAL PUT/CALL RATIO,0.87
2023-07-26,TOTAL PUT/CALL RATIO,0.96
2023-07-27,TOTAL PUT/CALL RATIO,0.96
2023-07-28,TOTAL PUT/CALL RATIO,0.92
2023-07-31,TOTAL PUT/CALL RATIO,0.90
2023-08-01,TOTAL PUT/CALL RATIO,0.84
2023-08-02,TOTAL PUT/CALL RATIO,0.97
2023-08-03,TOTAL PUT/CALL RATIO,0.88
2023-08-04,TOTAL PUT/CALL RATIO,1.01
2023-08-07,TOTAL PUT/CALL RATIO,1.03
2023-08-09,TOTAL PUT/CALL RATIO,0.98
2023-08-10,TOTAL PUT/CALL RATIO,1.07
2023-08-11,TOTAL PUT/CALL RATIO,1.00
2023-08-14,TOTAL PUT/CALL RATIO,0.97
2023-08-16,TOTAL PUT/CALL RATIO,1.26
2023-08-17,TOTAL PUT/CALL RATIO,1.09
2023-08-18,TOTAL PUT/CALL RATIO,1.12
2023-08-21,TOTAL PUT/CALL RATIO,0.91
2023-08-22,TOTAL PUT/CALL RATIO,0.95
2023-08-23,TOTAL PUT/CALL RATIO,1.18
2023-08-24,TOTAL PUT/CALL RATIO,1.12
2023-08-25,TOTAL PUT/CALL RATIO,1.11
2023-08-28,TOTAL PUT/CALL RATIO,1.04
2023-08-29,TOTAL PUT/CALL RATIO,0.96
2023-08-30,TOTAL PUT/CALL RATIO,1.09
2023-09-01,TOTAL PUT/CALL RATIO,1.04
2023-09-05,TOTAL PUT/CALL RATIO,1.05
2023-09-06,TOTAL PUT/CALL RATIO,1.23
2023-09-07,TOTAL PUT/CALL RATIO,1.12
2023-09-08,TOTAL PUT/CALL RATIO,1.05
2023-09-11,TOTAL PUT/CALL RATIO,1.01
2023-09-12,TOTAL PUT/CALL RATIO,0.99
2023-09-13,TOTAL PUT/CALL RATIO,1.27
2023-09-14,TOTAL PUT/CALL RATIO,1.07
2023-09-15,TOTAL PUT/CALL RATIO,0.94
2023-09-19,TOTAL PUT/CALL RATIO,0.91
2023-09-20,TOTAL PUT/CALL RATIO,1.08
2023-09-21,TOTAL PUT/CALL RATIO,1.15
2023-09-22,TOTAL PUT/CALL RATIO,1.16
2023-09-25,TOTAL PUT/CALL RATIO,1.09
2023-09-26,TOTAL PUT/CALL RATIO,1.14
2023-09-27,TOTAL PUT/CALL RATIO,1.29
2023-09-28,TOTAL PUT/CALL RATIO,1.00
2023-09-29,TOTAL PUT/CALL RATIO,1.04
2023-10-02,TOTAL PUT/CALL RATIO,1.09
2023-10-03,TOTAL PUT/CALL RATIO,1.13
2023-10-04,TOTAL PUT/CALL RATIO,1.59
2023-10-06,TOTAL PUT/CALL RATIO,0.96
2023-10-09,TOTAL PUT/CALL RATIO,1.08
2023-10-10,TOTAL PUT/CALL RATIO,0.97
2023-10-11,TOTAL PUT/CALL RATIO,1.26
2023-10-12,TOTAL PUT/CALL RATIO,1.11
2023-10-13,TOTAL PUT/CALL RATIO,1.06
2023-10-17,TOTAL PUT/CALL RATIO,1.05
2023-10-18,TOTAL PUT/CALL RATIO,1.02
2023-10-19,TOTAL PUT/CALL RATIO,1.05
2023-10-20,TOTAL PUT/CALL RATIO,1.04
2023-10-23,TOTAL PUT/CALL RATIO,0.89
2023-10-24,TOTAL PUT/CALL RATIO,0.91
2023-10-25,TOTAL PUT/CALL RATIO,1.26
2023-10-26,TOTAL PUT/CALL RATIO,1.12
2023-10-27,TOTAL PUT/CALL RATIO,1.17
2023-10-30,TOTAL PUT/CALL RATIO,1.09
2023-10-31,TOTAL PUT/CALL RATIO,1.09
2023-11-01,TOTAL PUT/CALL RATIO,0.99
2023-11-02,TOTAL PUT/CALL RATIO,1.00
2023-11-03,TOTAL PUT/CALL RATIO,0.91
2023-11-06,TOTAL PUT/CALL RATIO,1.09
2023-11-07,TOTAL PUT/CALL RATIO,0.98
2023-11-08,TOTAL PUT/CALL RATIO,1.18
2023-11-09,TOTAL PUT/CALL RATIO,1.13
2023-11-10,TOTAL PUT/CALL RATIO,1.12
2023-11-13,TOTAL PUT/CALL RATIO,1.13
2023-11-14,TOTAL PUT/CALL RATIO,0.98
2023-11-15,TOTAL PUT/CALL RATIO,0.81
2023-11-16,TOTAL PUT/CALL RATIO,0.91
2023-11-17,TOTAL PUT/CALL RATIO,0.86
2023-11-20,TOTAL PUT/CALL RATIO,0.95
2023-11-21,TOTAL PUT/CALL RATIO,1.07
2023-11-22,TOTAL PUT/CALL RATIO,0.94
2023-11-24,TOTAL PUT/CALL RATIO,1.11
2023-11-27,TOTAL PUT/CALL RATIO,1.12
2023-11-28,TOTAL PUT/CALL RATIO,0.98
2023-11-29,TOTAL PUT/CALL RATIO,0.81
2023-11-30,TOTAL PUT/CALL RATIO,0.89
2023-12-01,TOTAL PUT/CALL RATIO,0.84
2023-12-04,TOTAL PUT/CALL RATIO,0.82
2023-12-05,TOTAL PUT/CALL RATIO,0.91
2023-12-06,TOTAL PUT/CALL RATIO,0.89
2023-12-07,TOTAL PUT/CALL RATIO,0.93
2023-12-08,TOTAL PUT/CALL RATIO,0.89
2023-12-11,TOTAL PUT/CALL RATIO,0.92
2023-12-12,TOTAL PUT/CALL RATIO,0.99
2023-12-13,TOTAL PUT/CALL RATIO,1.01
2023-12-14,TOTAL PUT/CALL RATIO,0.81
2023-12-15,TOTAL PUT/CALL RATIO,0.77
2023-12-18,TOTAL PUT/CALL RATIO,0.96
2023-12-19,TOTAL PUT/CALL RATIO,0.88
2023-12-20,TOTAL PUT/CALL RATIO,0.93
2023-12-22,TOTAL PUT/CALL RATIO,0.87
2023-12-26,TOTAL PUT/CALL RATIO,0.92
2023-12-27,TOTAL PUT/CALL RATIO,1.08
2023-12-28,TOTAL PUT/CALL RATIO,0.89
2023-12-29,TOTAL PUT/CALL RATIO,0.93
2024-01-02,TOTAL PUT/CALL RATIO,0.94
2024-01-04,TOTAL PUT/CALL RATIO,0.95
2024-01-05,TOTAL PUT/CALL RATIO,1.18
2024-01-08,TOTAL PUT/CALL RATIO,0.84
2024-01-09,TOTAL PUT/CALL RATIO,0.93
2024-01-10,TOTAL PUT/CALL RATIO,1.28
2024-01-11,TOTAL PUT/CALL RATIO,1.04
2024-01-12,TOTAL PUT/CALL RATIO,0.88
2024-01-16,TOTAL PUT/CALL RATIO,1.01
2024-01-17,TOTAL PUT/CALL RATIO,1.01
2024-01-18,TOTAL PUT/CALL RATIO,0.91
2024-01-19,TOTAL PUT/CALL RATIO,0.88
2024-01-22,TOTAL PUT/CALL RATIO,0.82
2024-01-23,TOTAL PUT/CALL RATIO,0.91
2024-01-25,TOTAL PUT/CALL RATIO,0.94
2024-01-26,TOTAL PUT/CALL RATIO,0.91
2024-01-29,TOTAL PUT/CALL RATIO,0.94
2024-01-30,TOTAL PUT/CALL RATIO,0.91
2024-01-31,TOTAL PUT/CALL RATIO,0.92
2024-02-01,TOTAL PUT/CALL RATIO,1.00
2024-02-02,TOTAL PUT/CALL RATIO,1.04
2024-02-05,TOTAL PUT/CALL RATIO,0.93
2024-02-06,TOTAL PUT/CALL RATIO,0.82
2024-02-07,TOTAL PUT/CALL RATIO,0.98
2024-02-08,TOTAL PUT/CALL RATIO,0.84
2024-02-09,TOTAL PUT/CALL RATIO,0.82
